,Site,Measurement,DateTime,Value,IQR*4 + Q3
7738,SQ30977,Dissolved Reactive Phosphorus,2014-12-16 09:01:00,0.75,0.254
7812,SQ30992,Dissolved Reactive Phosphorus,2008-08-14 09:50:00,1.0,0.026000000000000002
7834,SQ30992,Dissolved Reactive Phosphorus,2010-06-10 11:35:00,0.045,0.026000000000000002
7860,SQ30992,Dissolved Reactive Phosphorus,2012-08-16 11:22:00,0.034,0.026000000000000002
7925,SQ30992,Dissolved Reactive Phosphorus,2018-02-22 10:26:00,0.137,0.026000000000000002
7997,SQ31020,Dissolved Reactive Phosphorus,2004-03-17 11:30:00,0.01,0.007
8220,SQ32872,Dissolved Reactive Phosphorus,2007-10-11 12:10:00,0.088,0.081
8277,SQ32872,Dissolved Reactive Phosphorus,2012-08-16 13:40:00,0.16,0.081
8287,SQ32872,Dissolved Reactive Phosphorus,2013-06-28 12:51:00,0.108,0.081
8383,SQ32943,Dissolved Reactive Phosphorus,2013-06-18 11:05:00,0.021,0.012
8423,SQ32943,Dissolved Reactive Phosphorus,2017-10-09 08:05:00,0.037,0.012
8426,SQ32943,Dissolved Reactive Phosphorus,2018-01-12 08:35:00,0.045,0.012
8785,SQ33147,Dissolved Reactive Phosphorus,2018-12-03 09:11:00,0.072,0.056999999999999995
8816,SQ33148,Dissolved Reactive Phosphorus,2013-01-22 08:25:00,0.023,0.018000000000000002
8902,SQ33270,Dissolved Reactive Phosphorus,2006-07-20 10:35:00,0.032,0.022
9000,SQ33273,Dissolved Reactive Phosphorus,2006-07-20 11:05:00,0.16,0.068
9032,SQ33273,Dissolved Reactive Phosphorus,2013-09-25 14:46:00,0.32,0.068
9122,SQ33274,Dissolved Reactive Phosphorus,2006-07-20 12:00:00,0.14,0.039
9129,SQ33274,Dissolved Reactive Phosphorus,2008-04-23 11:10:00,0.079,0.039
9190,SQ33476,Dissolved Reactive Phosphorus,2006-07-20 10:50:00,0.13,0.08900000000000001
9422,SQ33962,Dissolved Reactive Phosphorus,2014-07-01 11:50:00,0.022,0.017
9469,SQ34191,Dissolved Reactive Phosphorus,2004-07-29 10:50:00,0.071,0.04900000000000001
9493,SQ34191,Dissolved Reactive Phosphorus,2010-08-09 12:25:00,0.08,0.04900000000000001
9544,SQ34412,Dissolved Reactive Phosphorus,2006-07-20 12:50:00,0.22,0.092
9608,SQ34417,Dissolved Reactive Phosphorus,2006-02-22 10:00:00,0.072,0.043
9620,SQ34417,Dissolved Reactive Phosphorus,2007-02-22 10:05:00,0.072,0.043
9658,SQ34417,Dissolved Reactive Phosphorus,2010-05-27 10:40:00,0.065,0.043
9791,SQ34418,Dissolved Reactive Phosphorus,2007-02-22 09:20:00,0.073,0.054
9800,SQ34418,Dissolved Reactive Phosphorus,2008-01-24 09:30:00,0.055,0.054
9828,SQ34418,Dissolved Reactive Phosphorus,2010-05-27 10:10:00,0.13,0.054
9838,SQ34418,Dissolved Reactive Phosphorus,2011-07-13 10:15:00,0.071,0.054
9894,SQ34538,Dissolved Reactive Phosphorus,2004-12-16 09:55:00,0.01,0.009000000000000001
9916,SQ34538,Dissolved Reactive Phosphorus,2010-06-28 13:45:00,0.016,0.009000000000000001
9927,SQ34538,Dissolved Reactive Phosphorus,2013-06-28 10:06:00,0.012,0.009000000000000001
9928,SQ34538,Dissolved Reactive Phosphorus,2013-07-16 10:20:00,0.012,0.009000000000000001
9938,SQ34538,Dissolved Reactive Phosphorus,2014-05-22 09:50:00,0.0155,0.009000000000000001
9939,SQ34538,Dissolved Reactive Phosphorus,2014-06-18 10:11:00,0.0107,0.009000000000000001
9983,SQ34538,Dissolved Reactive Phosphorus,2018-02-22 07:56:00,0.038,0.009000000000000001
9989,SQ34538,Dissolved Reactive Phosphorus,2018-11-21 09:13:00,0.01,0.009000000000000001
10025,SQ34540,Dissolved Reactive Phosphorus,2010-06-28 14:05:00,0.15,0.044
10038,SQ34540,Dissolved Reactive Phosphorus,2013-06-28 11:17:00,0.05,0.044
10039,SQ34540,Dissolved Reactive Phosphorus,2013-07-16 11:05:00,0.047,0.044
10090,SQ34540,Dissolved Reactive Phosphorus,2018-02-22 09:06:00,0.12,0.044
10140,SQ34557,Dissolved Reactive Phosphorus,2006-07-20 11:45:00,0.13,0.034999999999999996
10169,SQ34557,Dissolved Reactive Phosphorus,2014-04-22 10:00:00,0.071,0.034999999999999996
10321,SQ34580,Dissolved Reactive Phosphorus,2007-03-14 06:10:00,0.042,0.024
10381,SQ34580,Dissolved Reactive Phosphorus,2017-09-19 10:18:00,0.054,0.024
10531,SQ34646,Dissolved Reactive Phosphorus,2005-07-20 10:30:00,0.1,0.05399999999999999
10538,SQ34646,Dissolved Reactive Phosphorus,2007-04-30 11:15:00,0.074,0.05399999999999999
10551,SQ34646,Dissolved Reactive Phosphorus,2010-08-09 11:15:00,0.16,0.05399999999999999
10572,SQ34646,Dissolved Reactive Phosphorus,2014-03-06 09:55:00,0.073,0.05399999999999999
10609,SQ34646,Dissolved Reactive Phosphorus,2017-04-07 13:43:00,0.108,0.05399999999999999
10615,SQ34646,Dissolved Reactive Phosphorus,2017-10-09 10:36:00,0.182,0.05399999999999999
10618,SQ34646,Dissolved Reactive Phosphorus,2018-01-12 12:31:00,0.175,0.05399999999999999
10621,SQ34646,Dissolved Reactive Phosphorus,2018-04-12 14:18:00,0.089,0.05399999999999999
10649,SQ34704,Dissolved Reactive Phosphorus,2006-04-26 10:50:00,0.016,0.014
10810,SQ34706,Dissolved Reactive Phosphorus,2005-07-18 12:40:00,0.037,0.018000000000000002
10828,SQ34706,Dissolved Reactive Phosphorus,2009-10-19 12:45:00,0.022,0.018000000000000002
10847,SQ34706,Dissolved Reactive Phosphorus,2014-04-29 14:19:00,0.028,0.018000000000000002
10906,SQ34711,Dissolved Reactive Phosphorus,2006-07-20 09:45:00,0.051,0.032999999999999995
11025,SQ34865,Dissolved Reactive Phosphorus,2007-03-22 09:05:00,0.029,0.028
11035,SQ34865,Dissolved Reactive Phosphorus,2008-01-24 08:20:00,0.052,0.028
11143,SQ34865,Dissolved Reactive Phosphorus,2018-06-13 08:34:00,0.048,0.028
11195,SQ34866,Dissolved Reactive Phosphorus,2008-07-24 10:35:00,0.054,0.053000000000000005
11212,SQ34866,Dissolved Reactive Phosphorus,2010-03-18 13:10:00,0.065,0.053000000000000005
11256,SQ34866,Dissolved Reactive Phosphorus,2014-04-30 11:46:00,0.113,0.053000000000000005
11303,SQ34866,Dissolved Reactive Phosphorus,2018-04-11 12:52:00,0.097,0.053000000000000005
11305,SQ34866,Dissolved Reactive Phosphorus,2018-06-13 12:39:00,0.23,0.053000000000000005
11336,SQ34869,Dissolved Reactive Phosphorus,2009-10-19 11:20:00,0.048,0.032
11360,SQ34869,Dissolved Reactive Phosphorus,2014-04-29 13:01:00,0.038,0.032
11553,SQ34903,Dissolved Reactive Phosphorus,2011-08-18 11:45:00,0.045,0.030999999999999996
11656,SQ34905,Dissolved Reactive Phosphorus,2018-02-02 10:49:00,0.057,0.04100000000000001
11665,SQ35080,Dissolved Reactive Phosphorus,2007-02-27 14:30:00,0.024,0.023
11666,SQ35080,Dissolved Reactive Phosphorus,2007-05-16 13:45:00,0.027,0.023
11667,SQ35080,Dissolved Reactive Phosphorus,2007-08-20 12:55:00,0.029,0.023
12503,SQ35798,Dissolved Reactive Phosphorus,2013-06-24 12:38:00,0.043,0.040999999999999995
12564,SQ35798,Dissolved Reactive Phosphorus,2018-11-29 10:57:00,0.063,0.040999999999999995
12569,SQ35798,Dissolved Reactive Phosphorus,2019-04-30 11:03:00,0.132,0.040999999999999995
12707,SQ35871,Dissolved Reactive Phosphorus,2018-11-09 12:00:00,0.0084,0.006
12819,SQ35874,Dissolved Reactive Phosphorus,2013-07-09 11:35:00,0.003,0.002
12820,SQ35874,Dissolved Reactive Phosphorus,2013-08-06 11:15:00,0.007,0.002
12821,SQ35874,Dissolved Reactive Phosphorus,2013-11-18 11:30:00,0.0021,0.002
12822,SQ35874,Dissolved Reactive Phosphorus,2013-12-09 10:02:00,0.0022,0.002
12823,SQ35874,Dissolved Reactive Phosphorus,2014-01-14 09:54:00,0.0025,0.002
12824,SQ35874,Dissolved Reactive Phosphorus,2014-03-17 11:21:00,0.0025,0.002
12825,SQ35874,Dissolved Reactive Phosphorus,2014-04-08 10:22:00,0.0033,0.002
12826,SQ35874,Dissolved Reactive Phosphorus,2014-05-15 10:51:00,0.0024,0.002
12827,SQ35874,Dissolved Reactive Phosphorus,2014-06-16 10:58:00,0.0027,0.002
12828,SQ35874,Dissolved Reactive Phosphorus,2014-07-10 10:06:00,0.0025,0.002
12829,SQ35874,Dissolved Reactive Phosphorus,2014-08-21 10:51:00,0.0021,0.002
12833,SQ35874,Dissolved Reactive Phosphorus,2014-12-15 10:32:00,0.0026,0.002
12837,SQ35874,Dissolved Reactive Phosphorus,2015-04-21 10:22:00,0.0025,0.002
12838,SQ35874,Dissolved Reactive Phosphorus,2015-05-21 11:59:00,0.0034,0.002
12839,SQ35874,Dissolved Reactive Phosphorus,2015-06-16 10:00:00,0.0022,0.002
12840,SQ35874,Dissolved Reactive Phosphorus,2015-07-22 10:10:00,0.0026,0.002
12841,SQ35874,Dissolved Reactive Phosphorus,2015-08-17 11:49:00,0.0024,0.002
12844,SQ35874,Dissolved Reactive Phosphorus,2015-11-19 10:55:00,0.0029,0.002
12845,SQ35874,Dissolved Reactive Phosphorus,2015-12-17 08:52:00,0.0025,0.002
12846,SQ35874,Dissolved Reactive Phosphorus,2016-01-20 08:42:00,0.0034,0.002
12850,SQ35874,Dissolved Reactive Phosphorus,2016-05-18 11:38:00,0.0039,0.002
12851,SQ35874,Dissolved Reactive Phosphorus,2016-06-22 12:48:00,0.0028,0.002
12854,SQ35874,Dissolved Reactive Phosphorus,2016-09-23 11:49:00,0.0023,0.002
12857,SQ35874,Dissolved Reactive Phosphorus,2017-01-19 09:19:00,0.0027,0.002
12864,SQ35874,Dissolved Reactive Phosphorus,2017-11-24 10:04:00,0.0021,0.002
12865,SQ35874,Dissolved Reactive Phosphorus,2018-02-22 10:29:00,0.003,0.002
12867,SQ35874,Dissolved Reactive Phosphorus,2018-07-24 11:22:00,0.0025,0.002
12875,SQ35874,Dissolved Reactive Phosphorus,2019-06-26 11:29:00,0.0022,0.002
12876,SQ35874,Dissolved Reactive Phosphorus,2019-07-29 12:13:00,0.0025,0.002
12877,SQ35874,Dissolved Reactive Phosphorus,2019-08-28 12:24:00,0.0035,0.002
12878,SQ35874,Dissolved Reactive Phosphorus,2019-09-27 12:41:00,0.0023,0.002
12879,SQ35874,Dissolved Reactive Phosphorus,2019-10-31 09:31:00,0.0022,0.002
12880,SQ35874,Dissolved Reactive Phosphorus,2019-11-28 11:17:00,0.0021,0.002
12881,SQ35874,Dissolved Reactive Phosphorus,2019-12-19 11:03:00,0.0024,0.002
38,SQ10005,Total Phosphorus,2013-09-26 13:05:00,0.154,0.045000000000000005
383,SQ10057,Total Phosphorus,2017-10-10 08:38:00,0.036,0.032999999999999995
402,SQ10160,Total Phosphorus,2014-02-14 12:00:00,0.089,0.08
423,SQ10160,Total Phosphorus,2018-02-20 11:54:00,0.095,0.08
424,SQ10160,Total Phosphorus,2018-03-22 11:56:00,0.21,0.08
429,SQ10160,Total Phosphorus,2018-11-09 12:33:00,0.28,0.08
436,SQ10167,Total Phosphorus,2005-12-20 09:45:00,0.2,0.087
446,SQ10167,Total Phosphorus,2018-02-20 10:34:00,0.26,0.087
448,SQ10167,Total Phosphorus,2018-11-09 11:05:00,0.43,0.087
452,SQ10174,Total Phosphorus,2005-12-19 11:50:00,0.045,0.042
474,SQ10174,Total Phosphorus,2013-11-12 08:00:00,0.75,0.042
484,SQ10174,Total Phosphorus,2015-01-22 08:05:00,0.057,0.042
507,SQ10174,Total Phosphorus,2018-02-20 08:17:00,0.054,0.042
515,SQ10174,Total Phosphorus,2018-11-09 08:48:00,0.29,0.042
573,SQ10275,Total Phosphorus,2011-10-26 11:32:00,0.071,0.052000000000000005
644,SQ10275,Total Phosphorus,2018-05-23 13:03:00,0.059,0.052000000000000005
684,SQ10301,Total Phosphorus,2016-11-18 09:56:00,0.157,0.034999999999999996
690,SQ10301,Total Phosphorus,2017-09-20 11:52:00,0.047,0.034999999999999996
693,SQ10301,Total Phosphorus,2018-02-23 10:41:00,0.059,0.034999999999999996
713,SQ10804,Total Phosphorus,2006-01-24 09:50:00,0.066,0.04900000000000001
753,SQ10804,Total Phosphorus,2018-01-24 12:52:00,0.27,0.04900000000000001
763,SQ10805,Total Phosphorus,2007-01-25 11:25:00,0.039,0.037
819,SQ10814,Total Phosphorus,2016-02-16 08:47:00,0.05,0.03
835,SQ10814,Total Phosphorus,2018-11-09 09:49:00,0.44,0.03
838,SQ10814,Total Phosphorus,2019-03-12 09:36:00,0.053,0.03
944,SQ10818,Total Phosphorus,2018-11-09 10:15:00,0.43,0.40599999999999997
1011,SQ20104,Total Phosphorus,2004-02-16 10:25:00,0.26,0.157
1013,SQ20104,Total Phosphorus,2004-08-17 12:45:00,0.18,0.157
1015,SQ20104,Total Phosphorus,2005-02-14 11:20:00,0.38,0.157
1023,SQ20104,Total Phosphorus,2009-05-19 11:12:00,0.56,0.157
1060,SQ20104,Total Phosphorus,2016-11-16 14:05:00,0.159,0.157
1068,SQ20104,Total Phosphorus,2017-09-19 13:33:00,0.47,0.157
1073,SQ20104,Total Phosphorus,2018-02-22 14:12:00,0.67,0.157
1080,SQ20104,Total Phosphorus,2018-11-29 14:06:00,0.18,0.157
1083,SQ20104,Total Phosphorus,2019-03-28 14:10:00,0.54,0.157
1090,SQ20104,Total Phosphorus,2019-12-19 12:29:00,0.19,0.157
1091,SQ20106,Total Phosphorus,2004-02-16 10:10:00,0.43,0.145
1093,SQ20106,Total Phosphorus,2004-08-17 12:30:00,0.22,0.145
1100,SQ20106,Total Phosphorus,2009-05-19 10:53:00,0.74,0.145
1108,SQ20106,Total Phosphorus,2012-08-16 11:12:00,0.15,0.145
1118,SQ20106,Total Phosphorus,2017-01-19 12:24:00,0.52,0.145
1133,SQ20107,Total Phosphorus,2009-05-19 10:37:00,0.2,0.107
1154,SQ20112,Total Phosphorus,2004-02-16 09:20:00,0.56,0.14600000000000002
1163,SQ20112,Total Phosphorus,2009-05-19 09:54:00,0.6,0.14600000000000002
1201,SQ20112,Total Phosphorus,2017-01-19 08:14:00,0.35,0.14600000000000002
1206,SQ20112,Total Phosphorus,2017-09-19 10:07:00,0.36,0.14600000000000002
1207,SQ20112,Total Phosphorus,2018-02-22 09:19:00,0.61,0.14600000000000002
1210,SQ20112,Total Phosphorus,2018-05-23 09:53:00,0.26,0.14600000000000002
1212,SQ20112,Total Phosphorus,2018-11-29 09:50:00,0.21,0.14600000000000002
1241,SQ20175,Total Phosphorus,2013-06-04 09:43:00,1.1,0.21200000000000002
1281,SQ20175,Total Phosphorus,2019-12-04 12:06:00,1.83,0.21200000000000002
1298,SQ20176,Total Phosphorus,2012-08-15 09:47:00,1.2,0.142
1304,SQ20176,Total Phosphorus,2014-11-04 12:24:00,0.179,0.142
1335,SQ20177,Total Phosphorus,2013-06-04 10:32:00,0.47,0.21400000000000002
1368,SQ20177,Total Phosphorus,2018-04-11 12:57:00,0.25,0.21400000000000002
1372,SQ20177,Total Phosphorus,2018-12-05 11:19:00,0.3,0.21400000000000002
1380,SQ20177,Total Phosphorus,2019-12-04 10:57:00,1.2,0.21400000000000002
1436,SQ20195,Total Phosphorus,2013-10-09 07:55:00,0.162,0.096
1444,SQ20195,Total Phosphorus,2014-06-11 08:30:00,0.28,0.096
1478,SQ20195,Total Phosphorus,2017-04-12 12:01:00,0.24,0.096
1487,SQ20195,Total Phosphorus,2018-01-12 08:13:00,0.65,0.096
1488,SQ20195,Total Phosphorus,2018-02-02 08:50:00,0.142,0.096
1505,SQ20195,Total Phosphorus,2019-07-04 09:34:00,0.26,0.096
1551,SQ20199,Total Phosphorus,2012-08-08 10:26:00,0.68,0.084
1571,SQ20199,Total Phosphorus,2017-08-14 10:27:00,0.098,0.084
1584,SQ20203,Total Phosphorus,2013-10-15 08:10:00,0.27,0.23299999999999998
1596,SQ20203,Total Phosphorus,2018-02-22 08:00:00,0.34,0.23299999999999998
1616,SQ20236,Total Phosphorus,2006-09-12 11:40:00,0.091,0.06999999999999999
1622,SQ20236,Total Phosphorus,2009-03-11 11:30:00,0.25,0.06999999999999999
1650,SQ20236,Total Phosphorus,2017-08-14 09:48:00,0.36,0.06999999999999999
1679,SQ20252,Total Phosphorus,2010-06-09 00:00:00,0.049,0.044000000000000004
1690,SQ20252,Total Phosphorus,2013-05-07 08:35:00,0.059,0.044000000000000004
1691,SQ20252,Total Phosphorus,2013-06-05 09:06:00,0.046,0.044000000000000004
1695,SQ20252,Total Phosphorus,2013-10-09 07:20:00,0.136,0.044000000000000004
1703,SQ20252,Total Phosphorus,2014-06-11 08:15:00,0.23,0.044000000000000004
1741,SQ20252,Total Phosphorus,2017-10-12 08:45:00,0.099,0.044000000000000004
1744,SQ20252,Total Phosphorus,2018-01-12 07:48:00,0.074,0.044000000000000004
1746,SQ20252,Total Phosphorus,2018-03-08 07:59:00,0.062,0.044000000000000004
1755,SQ20252,Total Phosphorus,2018-12-04 08:03:00,0.152,0.044000000000000004
1762,SQ20252,Total Phosphorus,2019-07-04 09:11:00,0.171,0.044000000000000004
1782,SQ20318,Total Phosphorus,2007-03-27 15:27:00,0.12,0.053000000000000005
1875,SQ20318,Total Phosphorus,2019-11-06 08:53:00,0.179,0.053000000000000005
1879,SQ20332,Total Phosphorus,2006-06-26 13:40:00,0.047,0.026000000000000002
1942,SQ20332,Total Phosphorus,2019-08-06 10:06:00,0.31,0.026000000000000002
1959,SQ20350,Total Phosphorus,2010-06-08 09:53:00,0.071,0.038
1971,SQ20350,Total Phosphorus,2013-10-15 11:25:00,0.056,0.038
2000,SQ20350,Total Phosphorus,2016-11-16 13:21:00,0.048,0.038
2014,SQ20350,Total Phosphorus,2018-02-22 11:22:00,0.22,0.038
2022,SQ20350,Total Phosphorus,2018-11-12 10:49:00,0.054,0.038
2131,SQ20450,Total Phosphorus,2017-04-13 12:07:00,0.095,0.043
2133,SQ20450,Total Phosphorus,2017-07-10 13:51:00,0.045,0.043
2139,SQ20450,Total Phosphorus,2018-02-22 11:40:00,0.096,0.043
2180,SQ20497,Total Phosphorus,2016-02-18 11:42:00,0.36,0.091
2181,SQ20497,Total Phosphorus,2016-05-18 12:04:00,0.21,0.091
2186,SQ20497,Total Phosphorus,2017-01-19 09:49:00,1.18,0.091
2195,SQ20497,Total Phosphorus,2018-02-22 11:15:00,0.187,0.091
2204,SQ20497,Total Phosphorus,2019-03-28 11:51:00,0.113,0.091
2249,SQ20509,Total Phosphorus,2013-06-25 10:55:00,0.076,0.07300000000000001
2258,SQ20509,Total Phosphorus,2014-04-29 12:20:00,0.35,0.07300000000000001
2265,SQ20509,Total Phosphorus,2014-12-23 10:06:00,1.28,0.07300000000000001
2268,SQ20509,Total Phosphorus,2015-03-26 11:43:00,0.127,0.07300000000000001
2289,SQ20509,Total Phosphorus,2017-03-30 12:17:00,0.22,0.07300000000000001
2314,SQ20509,Total Phosphorus,2019-04-30 11:30:00,0.091,0.07300000000000001
2342,SQ20541,Total Phosphorus,2012-08-13 11:00:00,0.26,0.057999999999999996
2343,SQ20541,Total Phosphorus,2012-11-01 08:45:00,0.082,0.057999999999999996
2355,SQ20541,Total Phosphorus,2017-08-14 12:34:00,0.08,0.057999999999999996
2391,SQ20544,Total Phosphorus,2011-02-08 11:22:00,0.16,0.11900000000000002
2482,SQ20545,Total Phosphorus,2014-04-09 11:25:00,0.089,0.068
2514,SQ20545,Total Phosphorus,2018-01-12 10:01:00,0.123,0.068
2522,SQ20545,Total Phosphorus,2018-09-06 11:14:00,0.099,0.068
2538,SQ20575,Total Phosphorus,2004-12-06 10:35:00,0.075,0.030999999999999996
2548,SQ20575,Total Phosphorus,2009-07-07 11:52:00,0.074,0.030999999999999996
2564,SQ20575,Total Phosphorus,2014-06-19 09:52:00,0.032,0.030999999999999996
2591,SQ20575,Total Phosphorus,2017-07-04 09:57:00,0.034,0.030999999999999996
2598,SQ20575,Total Phosphorus,2018-05-02 09:35:00,0.042,0.030999999999999996
2618,SQ20577,Total Phosphorus,2009-07-07 13:09:00,0.068,0.032999999999999995
2646,SQ20601,Total Phosphorus,2004-04-19 10:30:00,1.7,1.2200000000000002
2651,SQ20601,Total Phosphorus,2004-09-13 11:00:00,1.5,1.2200000000000002
2674,SQ20601,Total Phosphorus,2006-08-02 09:55:00,4.5,1.2200000000000002
2773,SQ20601,Total Phosphorus,2014-12-10 13:10:00,1.28,1.2200000000000002
2774,SQ20601,Total Phosphorus,2015-01-22 13:15:00,1.7,1.2200000000000002
2847,SQ20606,Total Phosphorus,2014-04-23 12:10:00,0.056,0.036000000000000004
2863,SQ20606,Total Phosphorus,2016-11-16 07:01:00,0.053,0.036000000000000004
2868,SQ20606,Total Phosphorus,2017-04-13 11:30:00,0.087,0.036000000000000004
2877,SQ20606,Total Phosphorus,2018-02-22 12:06:00,0.097,0.036000000000000004
2887,SQ20606,Total Phosphorus,2018-12-05 12:02:00,0.038,0.036000000000000004
2910,SQ20725,Total Phosphorus,2013-05-16 12:44:00,0.044,0.030999999999999996
2941,SQ20725,Total Phosphorus,2018-02-22 09:25:00,0.049,0.030999999999999996
2963,SQ20785,Total Phosphorus,2013-06-19 08:32:00,0.069,0.05
2989,SQ20785,Total Phosphorus,2018-05-23 09:02:00,0.188,0.05
3063,SQ21044,Total Phosphorus,2017-11-27 10:03:00,0.092,0.08199999999999999
3114,SQ21045,Total Phosphorus,2012-08-22 13:29:00,0.34,0.196
3134,SQ21045,Total Phosphorus,2017-08-14 11:30:00,0.3,0.196
3206,SQ21046,Total Phosphorus,2017-08-14 11:40:00,0.35,0.096
3252,SQ21047,Total Phosphorus,2011-02-08 11:48:00,0.19,0.11700000000000002
3255,SQ21047,Total Phosphorus,2011-11-22 13:35:00,0.14,0.11700000000000002
3258,SQ21047,Total Phosphorus,2012-08-22 12:59:00,0.22,0.11700000000000002
3275,SQ21047,Total Phosphorus,2014-06-11 11:15:00,0.34,0.11700000000000002
3318,SQ21047,Total Phosphorus,2018-01-12 11:10:00,0.155,0.11700000000000002
3376,SQ21049,Total Phosphorus,2012-08-15 12:33:00,0.52,0.133
3393,SQ21049,Total Phosphorus,2014-06-11 11:40:00,0.38,0.133
3427,SQ21049,Total Phosphorus,2017-04-12 15:13:00,0.29,0.133
3436,SQ21049,Total Phosphorus,2018-01-12 11:37:00,0.62,0.133
3438,SQ21049,Total Phosphorus,2018-03-08 11:35:00,0.146,0.133
3461,SQ21160,Total Phosphorus,2004-02-02 10:15:00,0.81,0.5199999999999999
3471,SQ21160,Total Phosphorus,2004-12-06 11:20:00,0.54,0.5199999999999999
3483,SQ21160,Total Phosphorus,2005-12-05 09:55:00,0.71,0.5199999999999999
3502,SQ21160,Total Phosphorus,2007-07-03 10:00:00,0.87,0.5199999999999999
3507,SQ21160,Total Phosphorus,2007-12-12 13:50:00,0.71,0.5199999999999999
3514,SQ21160,Total Phosphorus,2008-12-10 11:01:00,0.59,0.5199999999999999
3515,SQ21160,Total Phosphorus,2009-02-12 11:37:00,1.3,0.5199999999999999
3521,SQ21160,Total Phosphorus,2010-02-18 10:24:00,0.61,0.5199999999999999
3537,SQ21160,Total Phosphorus,2012-02-08 11:15:00,0.54,0.5199999999999999
3543,SQ21160,Total Phosphorus,2012-08-09 11:38:00,0.67,0.5199999999999999
3552,SQ21160,Total Phosphorus,2013-05-20 10:23:00,0.7,0.5199999999999999
3584,SQ21160,Total Phosphorus,2016-01-12 11:33:00,0.59,0.5199999999999999
3598,SQ21160,Total Phosphorus,2017-03-14 10:00:00,0.87,0.5199999999999999
3642,SQ21254,Total Phosphorus,2004-12-06 11:00:00,0.69,0.516
3673,SQ21254,Total Phosphorus,2007-07-03 09:30:00,0.88,0.516
3734,SQ21254,Total Phosphorus,2012-08-09 11:22:00,0.72,0.516
3743,SQ21254,Total Phosphorus,2013-05-20 11:05:00,0.64,0.516
3789,SQ21254,Total Phosphorus,2017-03-14 10:33:00,0.58,0.516
3855,SQ21255,Total Phosphorus,2012-08-09 11:56:00,0.76,0.5529999999999999
3864,SQ21255,Total Phosphorus,2013-05-20 10:51:00,0.62,0.5529999999999999
3893,SQ21255,Total Phosphorus,2015-10-06 12:41:00,0.6,0.5529999999999999
3910,SQ21255,Total Phosphorus,2017-03-14 11:02:00,0.65,0.5529999999999999
3927,SQ21255,Total Phosphorus,2018-08-10 11:54:00,1.17,0.5529999999999999
3928,SQ21255,Total Phosphorus,2018-09-03 11:29:00,1.66,0.5529999999999999
3946,SQ21289,Total Phosphorus,2004-10-11 10:30:00,1.9,1.264
3962,SQ21289,Total Phosphorus,2008-10-14 11:26:00,1.5,1.264
4060,SQ21292,Total Phosphorus,2004-01-14 09:30:00,0.077,0.04500000000000001
4090,SQ21292,Total Phosphorus,2009-07-07 11:37:00,0.078,0.04500000000000001
4106,SQ21292,Total Phosphorus,2013-05-20 09:32:00,0.092,0.04500000000000001
4192,SQ21296,Total Phosphorus,2004-12-06 10:00:00,0.58,0.14100000000000001
4215,SQ21296,Total Phosphorus,2009-07-07 10:51:00,0.19,0.14100000000000001
4240,SQ21296,Total Phosphorus,2015-10-06 09:50:00,0.18,0.14100000000000001
4246,SQ21296,Total Phosphorus,2017-04-10 11:18:00,0.46,0.14100000000000001
4247,SQ21296,Total Phosphorus,2017-07-04 09:33:00,0.149,0.14100000000000001
4264,SQ21298,Total Phosphorus,2004-12-06 09:00:00,0.11,0.069
4287,SQ21298,Total Phosphorus,2009-07-07 10:04:00,0.13,0.069
4305,SQ21298,Total Phosphorus,2013-07-11 09:18:00,0.099,0.069
4431,SQ21299,Total Phosphorus,2017-04-10 10:40:00,0.69,0.65
4435,SQ21299,Total Phosphorus,2018-04-06 08:46:00,0.87,0.65
4458,SQ21309,Total Phosphorus,2009-05-26 11:11:00,0.044,0.038
4464,SQ21309,Total Phosphorus,2012-08-15 11:20:00,0.22,0.038
4478,SQ21309,Total Phosphorus,2017-08-14 13:20:00,0.87,0.038
4522,SQ22030,Total Phosphorus,2011-01-10 13:20:00,5.6,2.1550000000000002
4563,SQ22030,Total Phosphorus,2016-02-03 14:05:00,2.2,2.1550000000000002
4597,SQ22030,Total Phosphorus,2018-12-04 12:44:00,2.3,2.1550000000000002
4648,SQ26221,Total Phosphorus,2013-04-08 10:45:00,5.3,0.032999999999999995
4654,SQ26221,Total Phosphorus,2013-10-09 09:15:00,0.178,0.032999999999999995
4686,SQ26221,Total Phosphorus,2017-04-12 13:26:00,0.045,0.032999999999999995
4695,SQ26221,Total Phosphorus,2018-01-12 09:22:00,0.049,0.032999999999999995
4696,SQ26221,Total Phosphorus,2018-02-02 09:50:00,0.046,0.032999999999999995
4719,SQ26242,Total Phosphorus,2012-09-20 12:20:00,0.088,0.083
4737,SQ26242,Total Phosphorus,2014-04-29 10:55:00,0.5,0.083
4773,SQ26242,Total Phosphorus,2019-09-24 10:15:00,0.156,0.083
4776,SQ26368,Total Phosphorus,2006-10-16 08:55:00,0.25,0.117
4781,SQ26368,Total Phosphorus,2011-10-26 11:05:00,0.8,0.117
4787,SQ26368,Total Phosphorus,2013-10-22 08:25:00,0.88,0.117
4813,SQ26369,Total Phosphorus,2013-06-19 11:00:00,0.042,0.034999999999999996
4822,SQ26369,Total Phosphorus,2015-03-18 11:40:00,0.04,0.034999999999999996
4859,SQ26633,Total Phosphorus,2005-02-14 13:10:00,0.46,0.06599999999999999
4870,SQ26633,Total Phosphorus,2009-05-26 12:57:00,0.21,0.06599999999999999
